region,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Tibro,581,692,779,1153,-987,689,1012,1330,1494,1154,-538,1937,1634,1051,1478,1366,1227,2046,5133,3050,1485,2515,2847,8440
Toreboda,-119,4998,161,414,629,-683,-753,569,183,364,191,581,1090,-410,1921,-303,577,1348,1201,1347,599,-1469,1792,3577
Goteborg,119,-199,865,482,203,689,912,5292,1076,1988,562,1088,446,790,1272,17993,724,1502,1686,3773,3133,2596,4129,4414
Molndal,-505,-419,12880,38,527,205,385,882,1975,960,580,1546,3777,1408,2732,1875,1275,4166,3979,1688,987,4148,5636,8870
Kungalv,172,-253,-52,1307,537,720,-256,1005,2033,588,1326,1138,642,492,2297,1470,181,-410,-423,788,1027,1914,3199,8834
Lysekil,-6023,-1962,-1455,-1338,-388,-567,-802,2139,1258,5489,86,898,-37,1277,243,267,943,2470,1277,554,1356,927,3309,2019
Uddevalla,150,164,-20,240,242,214,742,1166,966,1233,447,-3820,1554,1131,1148,1812,1012,1557,2497,1642,702,170,1253,2026
Stromstad,1519,280,208,75,363,1281,1289,1546,1269,698,1463,1478,917,633,1050,2704,981,1121,2874,2471,2261,5442,3978,6035
Vanersborg,733,632,638,353,171,-171,884,1445,1646,1418,720,1299,1329,953,1055,777,526,1076,1526,1944,134,929,4054,4661
Trollhattan,395,469,661,2458,185,356,128,841,952,1463,968,1105,695,433,1241,766,7,1087,1873,1622,-238,611,4992,4412
Alingsas,-935,-1045,70,584,254,382,7196,1996,2039,1693,720,2683,2431,989,1269,1049,1033,914,48,2547,1050,1846,3559,4180
Boras,1198,319,1352,1424,627,779,1477,1585,1811,1817,830,321,781,998,2196,1781,1465,1474,1076,1782,2834,872,2497,4134
Ulricehamn,773,1136,1960,1647,938,302,-729,710,1638,868,80,135,6435,796,2351,2505,1246,2061,2437,3110,1380,2245,2406,4152
Amal,-603,2,-202,264,52,76,81,68,288,22,-238,-556,873,460,1754,-1383,-106,2814,3197,1656,-171,102,943,2282
Mariestad,-1472,-597,534,-161,-237,10,-685,246,470,-201,273,796,375,631,1517,2369,-173,284,437,703,1070,742,1747,3907
Lidkoping,1492,1083,2274,-975,-8741,3485,1524,3499,4976,932,-7042,4289,4379,-418,560,103,-4553,564,3122,1347,2289,10708,6288,19399
Skara,1375,529,1155,1552,531,15,327,-1551,2074,-39,802,2034,937,446,146,2190,764,2011,3840,1297,-6,-142,2651,3449
Skovde,337,84,1533,690,-111,-1097,809,1001,1345,558,689,922,16849,841,983,2383,1912,1455,2807,909,294,2671,5305,5930
Hjo,-260,246,1131,565,-381,-497,540,4925,360,823,-384,1726,1124,2548,569,1700,1623,984,1486,1342,1471,927,1255,2760
Tidaholm,1077,912,2263,1835,-3091,864,913,1321,1942,633,568,2041,1496,262,575,-9478,28,2867,5589,1287,1350,313,1473,2916
Falkoping,3898,112,-72,15,446,751,643,1216,2073,763,302,736,295,907,2501,2142,716,927,1830,3036,558,1279,3083,3843
Kil,-2571,-671,512,-161,8,300,-617,872,497,277,128,1003,1927,2154,1983,2334,4921,1452,2967,1324,709,919,1549,3719
Eda,-2677,224,1056,1743,97,-114,359,1779,1068,1505,1622,-277,711,-580,205,-418,-192,-1083,832,-360,-3911,-295,1436,1766
Torsby,-3267,-1405,-144,-372,5,137,643,814,932,1275,1090,948,937,228,478,613,779,1169,1410,1452,1189,-992,1612,3009
Storfors,-513,-1388,-370,713,166,511,-568,-213,1676,531,395,116,11,-2242,-1063,-488,-946,707,382,305,83,-3235,405,2287
Hammaro,118,-35,297,223,49,-19,179,1433,981,553,128,445,488,682,192,676,-385,650,1314,1956,-361,575,990,3377
Munkfors,-2505,-1856,-3061,1756,952,-56,-1528,-1249,1794,391,391,280,1826,69,354,488,-293,2473,6786,4045,1858,1743,3187,3560
Forshaga,-108,535,486,-1629,304,929,860,1040,1325,1130,257,621,1058,1083,1376,1103,148,76,133,1781,56,675,2443,3933
